id,scrape_id,last_scraped,host_id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
42051250,2.02008E+13,20/8/20,24027409,t,3,3,"Abbotsford, Victoria, Australia",Yarra,-37.80986,145.0078,Entire home/apt,3,1,1,$120.00 ,3,7,139,1,1,0,11/3/20,11/3/20,100,10,10,10,10,10,10,f,3,0.18
42052067,2.02008E+13,21/8/20,260053901,f,33,33,,Manningham,-37.78664,145.10501,Entire home/apt,8,4,4,$241.00 ,2,365,63,0,0,0,,,,,,,,,,f,27,
42052153,2.02008E+13,23/8/20,306096881,f,12,12,,Moonee Valley,-37.77124,144.92788,Private room,2,1,1,$28.00 ,30,1125,365,1,1,0,7/4/20,7/4/20,80,10,4,10,10,6,6,f,12,0.22
42052166,2.02008E+13,20/8/20,142325689,f,44,44,,Melbourne,-37.8222,144.96351,Entire home/apt,5,2,2,$126.00 ,1,1125,0,0,0,0,,,,,,,,,,t,25,
42052672,2.02008E+13,20/8/20,20147067,t,1,1,,Glen Eira,-37.87244,145.007,Entire home/apt,2,2,3,$110.00 ,3,1125,0,1,1,0,19/2/20,19/2/20,100,10,10,10,10,10,10,t,3,0.16
42053430,2.02008E+13,23/8/20,85106599,f,6,6,,Wyndham,-37.90488,144.73323,Private room,2,1,1,$53.00 ,10,1125,0,0,0,0,,,,,,,,,,f,4,
42053959,2.02008E+13,23/8/20,330604144,t,5,5,,Monash,-37.86051,145.11271,Private room,1,1,1,$65.00 ,7,30,89,8,8,0,8/2/20,30/3/20,98,10,9,10,10,9,10,f,5,1.21
42054401,2.02008E+13,20/8/20,6906006,f,1,1,"Kallista, Victoria, Australia",Yarra Ranges,-37.8779,145.37354,Private room,2,1,1,$79.00 ,3,1125,0,0,0,0,,,,,,,,,,t,1,
42055203,2.02008E+13,23/8/20,83183172,f,13,13,,Whitehorse,-37.82376,145.12301,Shared room,4,1,4,$50.00 ,7,1125,90,0,0,0,,,,,,,,,,t,11,
42055337,2.02008E+13,23/8/20,83183172,f,13,13,,Whitehorse,-37.82254,145.12104,Shared room,2,1,2,$50.00 ,7,1125,90,0,0,0,,,,,,,,,,t,11,
42055490,2.02008E+13,20/8/20,14880961,f,0,0,"Abbotsford, Victoria, Australia",Yarra,-37.79682,144.99885,Entire home/apt,2,1,1,$90.00 ,2,6,0,1,1,0,17/3/20,17/3/20,100,10,10,10,10,10,10,t,1,0.19
42056364,2.02008E+13,20/8/20,99169216,f,2,2,"Launching Place, Victoria, Australia",Yarra Ranges,-37.79987,145.59454,Private room,5,1,1,$184.00 ,1,7,0,5,5,0,14/6/20,4/7/20,100,10,10,10,10,10,9,f,1,2.21
42056970,2.02008E+13,21/8/20,12302866,f,0,0,"Brighton, Victoria, Australia",Bayside,-37.90606,145.00021,Private room,4,1,,$95.00 ,1,1125,90,0,0,0,,,,,,,,,,t,1,
42057372,2.02008E+13,21/8/20,68461713,f,1,1,"Hawthorn, Victoria, Australia",Boroondara,-37.82839,145.03065,Entire home/apt,6,6,6,$688.00 ,2,1125,364,1,1,0,24/2/20,24/2/20,100,8,8,10,10,10,10,t,1,0.17
42057746,2.02008E+13,20/8/20,292408638,f,2,2,"Southbank, Victoria, Australia",Melbourne,-37.8235,144.96357,Entire home/apt,5,2,4,$109.00 ,1,1125,317,8,8,0,15/2/20,18/3/20,85,10,7,10,10,10,9,f,2,1.28
42059660,2.02008E+13,20/8/20,44696362,t,6,6,"Melbourne, Victoria, Australia",Melbourne,-37.80966,144.96293,Entire home/apt,6,2,3,$81.00 ,1,30,80,25,25,0,13/2/20,5/7/20,91,9,8,9,10,10,9,f,6,3.95
