id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21555376,Private Room in Glen Iris,148595878,Mo,,Stonnington,-37.85766,145.04306,Private room,30,1,4,2019-10-24,0.12,2,0
21555438,'Hidden Valley' Warburton,51389006,Stuart,,Yarra Ranges,-37.75589,145.6831,Entire home/apt,180,2,66,2020-03-08,1.94,1,80
21555736,Walk to CBD & Melb Uni! Stylish 2BR APT w/ parking,51704371,James,,Melbourne,-37.80483,144.96391,Entire home/apt,188,3,152,2020-08-03,4.60,24,181
21557659,Stylish Southbank 2 Bedroom Apartment with Parking,20689999,Yi,,Melbourne,-37.82587,144.96104,Entire home/apt,150,1,105,2020-07-26,3.15,1,361
21558542,Cosy private room easy access to city & airport,152640623,Helen,,Darebin,-37.73257,145.0161,Private room,60,7,30,2020-07-12,0.92,2,90
21565616,Chic Brand New Apartment in Balaclava,46914837,Sarah,,Port Phillip,-37.87086,144.9975,Entire home/apt,76,2,31,2020-05-25,0.95,1,278
21566675,Enjoy Albert Park this Christmas/ New Years,11138290,Lucy,,Port Phillip,-37.84611,144.94731,Entire home/apt,400,5,0,,,1,0
21566933,"Resort style Apartment, Melbourne-Southbank",117544682,Heather,,Melbourne,-37.82412,144.96603,Entire home/apt,120,3,3,2019-12-30,0.09,1,0
21567053,Elegant and generous; simple things done well,8525226,Anne,,Yarra,-37.80147,144.98392,Private room,81,2,14,2020-03-14,0.46,1,270
21568757,Relax in Richmond!,17493674,Kate,,Yarra,-37.8201,145.01163,Entire home/apt,500,2,5,2020-01-02,0.16,1,61
21579803,Best stay in Melbourne,50337056,Daniel,,Melbourne,-37.80681,144.9615,Entire home/apt,82,4,2,2018-01-04,0.06,1,0
21580420,Flemington,14108089,Sandra,,Moonee Valley,-37.78402,144.90367,Entire home/apt,300,2,0,,,1,0
21583393,CBD Cozy Spacious 2BR Aprt with free Wifi & Gym,31244340,Fiara,,Melbourne,-37.81618,144.95927,Entire home/apt,160,1,19,2019-11-09,0.56,3,91
21583754,"TANQUERAY: bright, modern Collingwood gem",335130912,Ruth,,Yarra,-37.80486,144.98596,Entire home/apt,82,2,37,2020-06-09,1.14,41,364
21585417,Private Room in the heart of South Yarra,9932365,Helen,,Stonnington,-37.83291,144.98859,Private room,150,2,2,2017-12-13,0.06,2,0
21585769,Amazing brand new house on the city's sunburn,156270794,Mirko,,Moreland,-37.7201,144.95316,Private room,25,1,0,,,1,0
21587130,Take In Sweeping Views from a House on the Hill,23500098,Sarah,,Moreland,-37.74245,144.93435,Entire home/apt,387,2,25,2020-06-19,0.74,1,164
21591889,"Enjoy local area ,enjoy Melbourne",110749720,Li,,Whitehorse,-37.79874,145.10677,Private room,80,1,0,,,1,180
21594823,"Stunning Views of Harbour, River and Ocean 1BR Apt",170341560,Terence,,Melbourne,-37.8202,144.94414,Entire home/apt,100,1,151,2020-07-05,4.57,4,164
21595497,Abbotsford Apartment + Balcony,46049812,Ryan,,Yarra,-37.8003,145.00054,Entire home/apt,68,3,1,2017-11-02,0.03,1,0
21595807,Family townhouse in the centre of Melbourne,59479953,Meirav,,Stonnington,-37.84775,144.98762,Entire home/apt,200,6,1,2017-12-28,0.03,1,0
21596139,"Cheap, cute and chilled Collingwood!",31473961,Ruth,,Yarra,-37.80553,144.99565,Private room,35,2,2,2017-11-17,0.06,1,0
21596917,Overlooking the Grand Mansion 'Labassa',157083928,Vera,,Port Phillip,-37.85656,144.98622,Entire home/apt,92,2,60,2020-03-15,1.76,1,324
21597294,★ On the banks of the CBD River ★,299609324,Matthew,,Melbourne,-37.82171,144.95768,Entire home/apt,68,3,45,2020-07-20,1.39,31,163
21597733,Domi Rentals - The Cantala Apartment,45356831,Domi,,Glen Eira,-37.86295,145.01434,Entire home/apt,62,14,23,2020-02-15,0.86,63,363
21597951,Elegant 2 Bed/2 Bath Apartment in Melbourne CBD,157095223,Sarah,,Melbourne,-37.80342,144.9654,Entire home/apt,140,2,47,2019-03-01,1.41,1,0
21598034,Beachside Holiday Apartment,1342978,Jane,,Port Phillip,-37.89042,144.98852,Entire home/apt,130,14,4,2019-12-23,0.13,1,179
21599380,❤️Stylish+Relaxing Two Bedroom Stay and Explore❤️,142325689,Domo,,Whitehorse,-37.85225,145.12351,Entire home/apt,140,1,9,2020-03-18,0.55,25,0
21601126,Modern Apartment 2 - Southbank,5507453,Ines,,Melbourne,-37.82336,144.9635,Entire home/apt,146,3,80,2020-03-07,2.51,11,40
